feature_group,total_abs_importance,average_abs_importance,feature_count
technical_momentum,3.120807947186006e-05,7.802019867965015e-06,4
historical_rating_counts,1.699403405801107e-05,4.248508514502768e-06,4
volatility_risk,1.3209412969133594e-05,6.604706484566797e-06,2
stock_sentiment,1.2865120402261427e-05,3.2162801005653566e-06,4
market_regime,1.2778710573744449e-05,2.129785095624075e-06,6
market_sentiment,1.1318877464268404e-05,2.2637754928536807e-06,5
historical_grade_events,1.0066409916911128e-05,3.3554699723037094e-06,3
