strategy_name,holding_period_days,ticker,score,rank,weight,historical_rating_score,historical_positive_rating_ratio,historical_negative_rating_ratio,net_upgrade_score_30d,downgrade_count_30d,relevance_weighted_sentiment_7d,negative_news_ratio_7d,relative_strength_21d,relative_strength_63d,above_sma_50,above_sma_200
final_quant_5d_no_snapshot,5,TMO,1.0762549642981722,1.0,0.1,3.892857142857143,0.75,0.0,2.0,0.0,0.3208386336771255,0.0,-0.0143848182697181,0.0694528201620925,1.0,1.0
final_quant_5d_no_snapshot,5,V,1.052647449444425,2.0,0.1,3.928571428571429,0.7857142857142857,0.0,2.0,0.0,0.1627919631886465,0.0,0.0561147369198844,-0.0128647747300278,1.0,1.0
final_quant_5d_no_snapshot,5,SPGI,0.8691645885690871,3.0,0.1,4.208333333333333,0.9583333333333334,0.0,0.0,0.0,0.1909077441373568,0.0,0.0497737146079515,0.0639215309537959,1.0,1.0
final_quant_5d_no_snapshot,5,BAC,0.7113010080981016,4.0,0.1,4.12,0.84,0.0,0.0,0.0,0.1785473566670712,0.0,0.0330381036022804,0.0677132500337229,1.0,1.0
final_quant_5d_no_snapshot,5,NVDA,0.6940718097227914,5.0,0.1,4.09375,0.9375,0.015625,0.0,0.0,0.2370841213564156,0.0042283298097251,0.0312415181363108,-0.027062600654253,1.0,1.0
final_quant_5d_no_snapshot,5,MA,0.5618609772038501,6.0,0.1,3.875,0.75,0.0,1.0,0.0,0.1529060722839592,0.0,0.0440815115307673,-0.0268893212158629,1.0,1.0
final_quant_5d_no_snapshot,5,GOOGL,0.5030906359541538,7.0,0.1,4.059701492537314,0.8656716417910447,0.0,0.0,0.0,0.2111490845982708,0.0,-0.0107402198715854,0.2557422408681931,1.0,1.0
final_quant_5d_no_snapshot,5,LIN,0.4889407959140271,8.0,0.1,4.038461538461538,0.8846153846153846,0.0384615384615384,0.0,0.0,0.2464684998623358,0.0,0.0457498019824611,-0.106389754812346,1.0,0.0
final_quant_5d_no_snapshot,5,CRM,0.48816143855800037,9.0,0.1,3.8620689655172415,0.7586206896551724,0.0172413793103448,0.0,0.0,0.1907806337658193,0.0,0.1342310161162945,0.1026246694421346,1.0,1.0
final_quant_5d_no_snapshot,5,META,0.45674447475713853,10.0,0.1,4.029411764705882,0.8823529411764706,0.0,0.0,0.0,0.1645638350029344,0.0,0.0254421802834006,-0.1022244128079147,1.0,0.0
final_quant_21d_no_snapshot,21,LLY,0.94706418435328,1.0,0.1,3.774193548387097,0.7096774193548387,0.032258064516129,0.0,0.0,0.2962079277197156,0.0,0.0104830520143701,0.2807257289428235,1.0,1.0
final_quant_21d_no_snapshot,21,TMO,0.9217561178074775,2.0,0.1,3.892857142857143,0.75,0.0,2.0,0.0,0.3208386336771255,0.0,-0.0143848182697181,0.0694528201620925,1.0,1.0
final_quant_21d_no_snapshot,21,NVDA,0.809702072545581,3.0,0.1,4.09375,0.9375,0.015625,0.0,0.0,0.2370841213564156,0.0042283298097251,0.0312415181363108,-0.027062600654253,1.0,1.0
final_quant_21d_no_snapshot,21,GOOGL,0.7940192866870294,4.0,0.1,4.059701492537314,0.8656716417910447,0.0,0.0,0.0,0.2111490845982708,0.0,-0.0107402198715854,0.2557422408681931,1.0,1.0
final_quant_21d_no_snapshot,21,CRM,0.7124071448426076,5.0,0.1,3.8620689655172415,0.7586206896551724,0.0172413793103448,0.0,0.0,0.1907806337658193,0.0,0.1342310161162945,0.1026246694421346,1.0,1.0
final_quant_21d_no_snapshot,21,BAC,0.6426500854901256,6.0,0.1,4.12,0.84,0.0,0.0,0.0,0.1785473566670712,0.0,0.0330381036022804,0.0677132500337229,1.0,1.0
final_quant_21d_no_snapshot,21,MRK,0.6179435206729624,7.0,0.1,3.6333333333333337,0.5666666666666667,0.0,1.0,0.0,0.2357938584499658,0.0,0.0371302255465693,0.1546848730814007,1.0,1.0
final_quant_21d_no_snapshot,21,AMD,0.582439503775852,8.0,0.1,3.9019607843137254,0.7843137254901961,0.0,0.0,0.0,0.2453634735196879,0.0,-0.0308705798472054,0.2826079354198172,0.0,1.0
final_quant_21d_no_snapshot,21,CAT,0.5599856352343775,9.0,0.1,3.4642857142857144,0.5,0.0714285714285714,0.0,0.0,0.2701032330030149,0.0,0.0030790851013116,0.1717006220785808,1.0,1.0
final_quant_21d_no_snapshot,21,INTU,0.5263183428029741,10.0,0.1,3.8484848484848486,0.7575757575757576,0.0303030303030303,0.0,0.0,0.2807967764501727,0.0,0.0433753212529228,-0.0465206008148989,1.0,0.0
final_quant_63d_no_snapshot,63,LLY,1.260055931994662,1.0,0.1,3.774193548387097,0.7096774193548387,0.032258064516129,0.0,0.0,0.2962079277197156,0.0,0.0104830520143701,0.2807257289428235,1.0,1.0
final_quant_63d_no_snapshot,63,TMO,0.9172532624038064,2.0,0.1,3.892857142857143,0.75,0.0,2.0,0.0,0.3208386336771255,0.0,-0.0143848182697181,0.0694528201620925,1.0,1.0
final_quant_63d_no_snapshot,63,AMD,0.871994563292657,3.0,0.1,3.9019607843137254,0.7843137254901961,0.0,0.0,0.0,0.2453634735196879,0.0,-0.0308705798472054,0.2826079354198172,0.0,1.0
final_quant_63d_no_snapshot,63,GOOGL,0.7711630080469207,4.0,0.1,4.059701492537314,0.8656716417910447,0.0,0.0,0.0,0.2111490845982708,0.0,-0.0107402198715854,0.2557422408681931,1.0,1.0
final_quant_63d_no_snapshot,63,CAT,0.734060459128967,5.0,0.1,3.4642857142857144,0.5,0.0714285714285714,0.0,0.0,0.2701032330030149,0.0,0.0030790851013116,0.1717006220785808,1.0,1.0
final_quant_63d_no_snapshot,63,AMGN,0.7086107733010827,6.0,0.1,3.4375,0.4375,0.09375,0.0,0.0,0.278637906973362,0.0,-0.0355522489382184,0.0811704529774024,1.0,1.0
final_quant_63d_no_snapshot,63,MRK,0.6467777032110184,7.0,0.1,3.6333333333333337,0.5666666666666667,0.0,1.0,0.0,0.2357938584499658,0.0,0.0371302255465693,0.1546848730814007,1.0,1.0
final_quant_63d_no_snapshot,63,ABBV,0.5693611120110136,8.0,0.1,3.838709677419355,0.6774193548387096,0.032258064516129,1.0,0.0,0.2742733397606107,0.0,0.0096264907357077,-0.0814475853099294,1.0,1.0
final_quant_63d_no_snapshot,63,SPGI,0.5562998620524715,9.0,0.1,4.208333333333333,0.9583333333333334,0.0,0.0,0.0,0.1909077441373568,0.0,0.0497737146079515,0.0639215309537959,1.0,1.0
final_quant_63d_no_snapshot,63,AMAT,0.4989514366132541,10.0,0.1,3.641025641025641,0.5897435897435898,0.0256410256410256,0.0,0.0,0.222517551782232,0.0,0.0034046594669028,0.1594085263691971,1.0,1.0
