date,ml_period_return,ml_value,turnover,trading_cost,selected_count,exposure,ml_drawdown,period_name,spy_adjusted_close,spy_value_direct,spy_drawdown
2025-01-02,0.0,10000.0,,0.0,,,0.0,2025_validation,576.2712,10000.0,0.0
2025-01-27,0.036713425012795065,10367.134250127949,0.9999999999999999,0.0019999999999999996,10.0,1.0,0.0,2025_validation,590.7904,10251.950817601157,0.0
2025-02-18,0.024512069106977976,10621.254161308405,0.9999999999999999,0.0019999999999999996,10.0,1.0,0.0,2025_validation,602.7369,10459.257724488054,0.0
2025-03-11,-0.08974789229733598,9668.018986776666,0.9999999999999999,0.0019999999999999996,10.0,1.0,-0.08974789229733604,2025_validation,547.9624,9508.759070382139,-0.09087630108592992
2025-04-01,0.0032972457016612468,9699.896820824395,0.9999999999999999,0.0019999999999999996,10.0,1.0,-0.0867465674477853,2025_validation,554.603,9623.993008847221,-0.07985889033838833
2025-04-23,-0.03514402634441928,9359.003391415194,0.9999999999999999,0.0019999999999999996,10.0,1.0,-0.11884197014053166,2025_validation,529.343,9185.657725043347,-0.12176772319730222
2025-05-14,0.1982406312336035,11214.338131446779,0.9999999999999999,0.0019999999999999996,10.0,1.0,0.0,2025_validation,580.9208,10080.684233395665,-0.03619506288730634
2025-06-05,0.010016821458696593,11326.670154286936,0.9999999999999999,0.0019999999999999996,10.0,1.0,0.0,2025_validation,586.3188,10174.355407662226,-0.027239248169474983
2025-06-27,0.06771503489886722,12093.656019072434,0.9999999999999999,0.0019999999999999996,10.0,1.0,0.0,2025_validation,609.7377,10580.742192217831,0.0
2025-07-21,0.01746255451693444,12304.84214661454,0.9999999999999999,0.0019999999999999996,10.0,1.0,0.0,2025_validation,623.4811,10819.230598371045,0.0
2025-08-11,0.005772807415178643,12375.875630601116,0.9999999999999999,0.0019999999999999996,10.0,1.0,0.0,2025_validation,630.5709,10942.25947782919,0.0
2025-09-02,0.046137930871347946,12946.872924918189,0.9999999999999999,0.0019999999999999996,10.0,1.0,0.0,2025_validation,634.8843,11017.109652538598,0.0
2025-09-23,0.06071421535088871,13732.932155802262,0.9999999999999999,0.0019999999999999996,10.0,1.0,0.0,2025_validation,659.4547,11443.478348388744,0.0
2025-10-14,-0.0017886118667365647,13708.369270383308,0.9999999999999999,0.0019999999999999996,10.0,1.0,-0.0017886118667364004,2025_validation,658.4803,11426.569642904245,-0.0014775844345333855
2025-11-04,0.008759367070181672,13828.445908756195,0.9999999999999999,0.0019999999999999996,10.0,1.0,0.0,2025_validation,671.4166,11651.05249056347,0.0
2025-11-25,0.035707849171351336,14322.229969540253,0.9999999999999999,0.0019999999999999996,10.0,1.0,0.0,2025_validation,671.1979,11647.257402417472,-0.000325729211937853
2025-12-17,-0.03309467034926024,13848.240490032022,0.9999999999999999,0.0019999999999999996,10.0,1.0,-0.03309467034926028,2025_validation,667.5984,11584.79549212246,-0.0056867822451812655
2025-12-31,0.011701900261355473,14010.291219041641,0.9999999999999999,0.0019999999999999996,10.0,1.0,-0.02178004061951433,2025_validation,680.0628,11801.089487033189,0.0
2026-01-02,0.0,14010.291219041641,,0.0,,,-0.02178004061951433,2026_forward,681.3094,11822.721662994783,0.0
2026-01-26,0.021883682569660473,14316.887984787649,0.9999999999999999,0.0019999999999999996,10.0,1.0,-0.0003729855451256592,2026_forward,690.8433,11988.162864984402,0.0
2026-02-17,-0.04167025398659562,13720.29962616391,0.9999999999999999,0.0019999999999999996,10.0,1.0,-0.04202769712932253,2026_forward,680.9902,11817.182604301584,-0.014262423910024191
2026-03-10,0.06951469057745037,14674.062009306603,0.9999999999999999,0.0019999999999999996,10.0,1.0,0.0,2026_forward,675.3357,11719.06040072799,-0.022447348045497306
2026-03-31,-0.020716244734746113,14370.070549468968,0.9999999999999999,0.0019999999999999996,10.0,1.0,-0.02071624473474598,2026_forward,650.34,11285.31149916914,-0.05862878021687412
2026-04-22,0.12563386583914657,16175.43806498002,0.9999999999999999,0.0019999999999999996,10.0,1.0,0.0,2026_forward,711.21,12341.58500372741,0.0
2026-05-18,0.028139047104271436,16630.59947862272,0.9999999999999999,0.0019999999999999996,10.0,1.0,0.0,2026_forward,738.65,12817.749698405889,0.0
