date,ml_period_return,ml_value,turnover,trading_cost,selected_count,exposure,spy_adjusted_close,spy_value_direct,spy_drawdown,ml_drawdown
2026-01-02,0.0,10000.0,,0.0,,,681.3094,10000.0,0.0,0.0
2026-01-26,0.021883682569660473,10218.836825696604,0.9999999999999999,0.0019999999999999996,10.0,1.0,690.8433,10139.934954662302,0.0,0.0
2026-02-17,-0.04167025398659562,9793.01529972225,0.9999999999999999,0.0019999999999999996,10.0,1.0,680.9902,9995.314903918837,-0.01426242391002408,-0.04167025398659563
2026-03-10,0.06951469057745037,10473.77372810268,0.9999999999999999,0.0019999999999999996,10.0,1.0,675.3357,9912.320305576292,-0.022447348045497417,0.0
2026-03-31,-0.020716244734746113,10256.796468254952,0.9999999999999999,0.0019999999999999996,10.0,1.0,650.34,9545.442936792007,-0.05862878021687401,-0.02071624473474598
2026-04-22,0.12563386583914657,11545.397459687127,0.9999999999999999,0.0019999999999999996,10.0,1.0,711.21,10438.869623698132,0.0,0.0
2026-05-18,0.028139047104271436,11870.2739426428,0.9999999999999999,0.0019999999999999996,10.0,1.0,738.65,10841.62349734203,0.0,0.0
