date,period_end_date,bucket,ticker_count,average_return,total_contribution,contribution_to_excess_return
2026-01-02,2026-01-26,shared,1,0.06040402316252935,0.006040402316252936,0.004641052769629917
2026-01-02,2026-01-26,ml_only,9,0.019825866948230592,0.01784328025340753,0.005249134333800364
2026-01-02,2026-01-26,rule_only,9,-0.004411202551020837,-0.003970082295918754,-0.016564228215525924
2026-01-26,2026-02-17,shared,1,-0.09374084154491424,-0.009374084154491424,-0.007947841763489005
2026-01-26,2026-02-17,ml_only,9,-0.03366241092456021,-0.03029616983210419,-0.017459988313082417
2026-01-26,2026-02-17,rule_only,9,-0.05180278088855345,-0.04662250279969811,-0.03378632128067634
2026-02-17,2026-03-10,shared,1,0.030191906495795173,0.0030191906495795175,0.0038495256529319844
2026-02-17,2026-03-10,ml_only,9,0.0761061110309676,0.06849549992787084,0.07596851495804305
2026-02-17,2026-03-10,rule_only,9,-0.013745414016753776,-0.0123708726150784,-0.004897857584906196
2026-03-10,2026-03-31,shared,2,-0.09902936129816586,-0.019805872259633175,-0.012403420412351896
2026-03-10,2026-03-31,ml_only,8,0.0013620344061088252,0.0010896275248870602,0.03069943491401217
2026-03-10,2026-03-31,rule_only,8,-0.04390208334888006,-0.03512166667910405,-0.005511859289978938
2026-03-31,2026-04-22,shared,1,0.16112385321100908,0.01611238532110091,0.006752665789778823
2026-03-31,2026-04-22,ml_only,9,0.12391275613116183,0.11152148051804567,0.02728400473614688
2026-03-31,2026-04-22,rule_only,9,0.06186713758369116,0.055680423825322053,-0.028557051956576728
2026-04-22,2026-05-18,shared,1,-0.013506900264265376,-0.0013506900264265377,-0.005208903493616246
2026-04-22,2026-05-18,ml_only,9,0.03498859681188663,0.03148973713069797,-0.003234184074009408
2026-04-22,2026-05-18,rule_only,9,0.07003778165514936,0.06303400348963444,0.02831008228492705
